# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 3.9962e-02 4.7186e-01 -2.5357e-02 -1.1051e-04 1.8334e-01 7.5162e-06 0.45245 0.39305 0.46173 -0.03800 0.02396 0.01028 4.32529e-02 7.37827e-30 -5.7320881809e-01 -5.2995596394e-01
2.005 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 0.00000 9.7887e-03 4.7642e-01 -4.6202e-02 -1.1051e-04 1.8334e-01 7.5162e-06 0.45866 0.38914 0.43886 -0.00917 0.04247 0.00499 4.36741e-02 1.97696e-03 -5.7753074933e-01 -5.3187964276e-01
4.005 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -2.6130e-02 4.7638e-01 -3.9555e-02 -1.1051e-04 1.8334e-01 7.5162e-06 0.45422 0.38918 0.44326 0.02385 0.03627 -0.01000 4.36704e-02 1.97962e-03 -5.7753196924e-01 -5.3188195507e-01
6.000 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 -4.6493e-02 4.7634e-01 -9.4572e-03 -1.1051e-04 1.8334e-01 7.5162e-06 0.43850 0.38920 0.45904 0.04245 0.00855 -0.00597 4.36682e-02 1.96239e-03 -5.7751266160e-01 -5.3188209089e-01
8.000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 -3.9401e-02 4.7635e-01 2.6146e-02 -1.1051e-04 1.8334e-01 7.5162e-06 0.44250 0.38917 0.45506 0.03578 -0.02407 0.01072 4.36686e-02 1.96640e-03 -5.7751715888e-01 -5.3188212240e-01
10.000 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 -9.2169e-03 4.7636e-01 4.6055e-02 -1.1051e-04 1.8334e-01 7.5162e-06 0.46011 0.38911 0.43752 0.00805 -0.04216 0.00639 4.36683e-02 1.96675e-03 -5.7751720807e-01 -5.3188215134e-01
12.005 0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 2.6107e-02 4.7638e-01 3.8621e-02 -1.1051e-04 1.8334e-01 7.5162e-06 0.45506 0.38904 0.44263 -0.02420 -0.03521 -0.01194 4.36682e-02 1.96669e-03 -5.7751704157e-01 -5.3188217852e-01
14.005 -0.00000 -0.00000 0.00000 0.00000 0.00000 0.00000 4.5600e-02 4.7639e-01 8.4875e-03 -1.1051e-04 1.8334e-01 7.5162e-06 0.43635 0.38899 0.46139 -0.04189 -0.00764 -0.00586 4.36680e-02 1.96621e-03 -5.7751644333e-01 -5.3188220518e-01
16.005 -0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 3.8031e-02 4.7639e-01 -2.6506e-02 -1.1051e-04 1.8334e-01 7.5162e-06 0.44356 0.38899 0.45419 -0.03492 0.02425 0.01299 4.36678e-02 1.96573e-03 -5.7751573566e-01 -5.3188223172e-01
18.005 0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 7.9429e-03 4.7636e-01 -4.5845e-02 -1.1051e-04 1.8334e-01 7.5162e-06 0.46215 0.38902 0.43557 -0.00749 0.04186 0.00465 4.36674e-02 1.96518e-03 -5.7751487971e-01 -5.3188225811e-01
