# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 0.00000 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 1.0879e-01 3.4484e-01 -1.0514e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.58750 0.47011 0.59481 -0.15364 0.14832 0.10469 2.23767e-02 8.89058e-30 -5.4786074920e-01 -5.2548409165e-01
2.005 0.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 6.1330e-02 3.4813e-01 -1.3717e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.64491 0.46168 0.50900 -0.08469 0.18754 0.07393 2.25922e-02 2.47497e-03 -5.5253282898e-01 -5.2746567592e-01
4.005 0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 5.8531e-03 3.4819e-01 -1.5125e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.67838 0.46330 0.47899 -0.00900 0.20797 0.00602 2.25977e-02 1.99491e-03 -5.5209259766e-01 -5.2749999807e-01
6.000 0.00000 -0.00000 0.00000 -0.00000 0.00000 -0.00000 -5.0903e-02 3.4812e-01 -1.4262e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.65385 0.46354 0.50217 0.06957 0.19651 -0.06305 2.25956e-02 2.08784e-03 -5.5218469757e-01 -5.2750121459e-01
8.000 -0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.0058e-01 3.4810e-01 -1.1342e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.59074 0.46377 0.56560 0.13860 0.15601 -0.09785 2.25962e-02 2.03941e-03 -5.5213694616e-01 -5.2750135303e-01
10.000 0.00000 -0.00000 0.00000 -0.00000 0.00000 0.00000 -1.3548e-01 3.4807e-01 -6.7638e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.51977 0.46340 0.63656 0.18641 0.09227 -0.08073 2.25956e-02 2.07367e-03 -5.5217066743e-01 -5.2750143657e-01
12.005 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -1.5078e-01 3.4807e-01 -1.2208e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.47902 0.46302 0.67799 0.20667 0.01604 -0.01786 2.25957e-02 2.04887e-03 -5.5214603358e-01 -5.2750149653e-01
14.005 -0.00000 -0.00000 0.00000 -0.00000 0.00000 0.00000 -1.4437e-01 3.4807e-01 4.4626e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.49438 0.46270 0.66274 0.19751 -0.06123 0.05725 2.25955e-02 2.06674e-03 -5.5216379760e-01 -5.2750154004e-01
16.005 -0.00000 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 -1.1751e-01 3.4809e-01 9.5081e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.55872 0.46282 0.59843 0.16124 -0.12989 0.09946 2.25956e-02 2.05413e-03 -5.5215133522e-01 -5.2750157761e-01
18.005 0.00000 -0.00000 0.00000 -0.00000 0.00000 0.00000 -7.3766e-02 3.4811e-01 1.3208e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.63255 0.46316 0.52414 0.10190 -0.18104 0.08415 2.25957e-02 2.06356e-03 -5.5216089069e-01 -5.2750161208e-01
20.000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -1.9340e-02 3.4814e-01 1.5018e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.67411 0.46352 0.48229 0.02699 -0.20672 0.02376 2.25958e-02 2.05696e-03 -5.5215437680e-01 -5.2750164505e-01
22.000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 0.00000 3.8167e-02 3.4817e-01 1.4649e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.66419 0.46353 0.49214 -0.05290 -0.20182 -0.04782 2.25956e-02 2.06188e-03 -5.5215914991e-01 -5.2750167800e-01
24.000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 9.0029e-02 3.4820e-01 1.2146e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.60869 0.46318 0.54803 -0.12464 -0.16675 -0.09447 2.25954e-02 2.05822e-03 -5.5215528431e-01 -5.2750170962e-01
26.000 -0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 1.2861e-01 3.4822e-01 7.8957e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.53461 0.46264 0.62262 -0.17716 -0.10778 -0.09044 2.25950e-02 2.06077e-03 -5.5215752321e-01 -5.2750174031e-01
28.000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 0.00000 1.4860e-01 3.4822e-01 2.5345e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.48322 0.46229 0.67439 -0.20392 -0.03449 -0.03421 2.25949e-02 2.05881e-03 -5.5215545321e-01 -5.2750176971e-01
30.000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 -0.00000 1.4738e-01 3.4822e-01 -3.1791e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.48680 0.46234 0.67074 -0.20234 0.04318 0.04265 2.25949e-02 2.06016e-03 -5.5215684242e-01 -5.2750179881e-01
32.000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 1.2510e-01 3.4821e-01 -8.4532e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.54282 0.46277 0.61430 -0.17248 0.11548 0.09366 2.25951e-02 2.05909e-03 -5.5215602906e-01 -5.2750182838e-01
34.000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 -0.00000 8.4647e-02 3.4819e-01 -1.2534e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.61646 0.46328 0.54013 -0.11722 0.17224 0.09128 2.25953e-02 2.05969e-03 -5.5215687615e-01 -5.2750185891e-01
36.000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 3.1701e-02 3.4817e-01 -1.4805e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.66787 0.46356 0.48845 -0.04382 0.20402 0.04045 2.25955e-02 2.05903e-03 -5.5215637286e-01 -5.2750189022e-01
38.000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -2.5896e-02 3.4813e-01 -1.4915e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.67202 0.46345 0.48442 0.03612 0.20517 -0.03189 2.25954e-02 2.05930e-03 -5.5215661133e-01 -5.2750192149e-01
40.005 -0.00000 0.00000 0.00000 -0.00000 0.00000 -0.00000 -7.9679e-02 3.4810e-01 -1.2856e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.62487 0.46308 0.53196 0.10992 0.17607 -0.08908 2.25952e-02 2.05906e-03 -5.5215623428e-01 -5.2750195202e-01
42.005 -0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -1.2167e-01 3.4807e-01 -8.9642e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.54942 0.46276 0.60773 0.16677 0.12248 -0.09735 2.25951e-02 2.05935e-03 -5.5215644402e-01 -5.2750198151e-01
44.005 0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -1.4627e-01 3.4806e-01 -3.8058e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.48943 0.46276 0.66772 0.20011 0.05241 -0.04902 2.25951e-02 2.05938e-03 -5.5215653272e-01 -5.2750201069e-01
46.005 -0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -1.5010e-01 3.4806e-01 1.9038e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.48131 0.46311 0.67548 0.20588 -0.02535 0.02689 2.25952e-02 2.05965e-03 -5.5215694076e-01 -5.2750204038e-01
48.005 0.00000 0.00000 0.00000 -0.00000 0.00000 -0.00000 -1.3238e-01 3.4807e-01 7.3653e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.52723 0.46355 0.62911 0.18227 -0.10069 0.08528 2.25953e-02 2.05971e-03 -5.5215710560e-01 -5.2750207097e-01
50.005 -0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -9.5383e-02 3.4809e-01 1.1779e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.59893 0.46375 0.55719 0.13133 -0.16216 0.09629 2.25953e-02 2.05979e-03 -5.5215715275e-01 -5.2750210229e-01
52.005 -0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -4.4463e-02 3.4812e-01 1.4476e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.65937 0.46354 0.49696 0.06055 -0.19945 0.05641 2.25950e-02 2.05972e-03 -5.5215687936e-01 -5.2750213361e-01
54.005 -0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 1.2726e-02 3.4815e-01 1.5062e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.67740 0.46302 0.47946 -0.01845 -0.20688 -0.01507 2.25947e-02 2.05969e-03 -5.5215656216e-01 -5.2750216417e-01
56.005 0.00000 -0.00000 0.00000 -0.00000 0.00000 -0.00000 6.7784e-02 3.4817e-01 1.3481e-01 -7.3418e-05 1.2980e-01 -6.6423e-07 0.63995 0.46251 0.51742 -0.09356 -0.18463 -0.08069 2.25945e-02 2.05963e-03 -5.5215629200e-01 -5.2750219370e-01
58.005 0.00000 -0.00000 0.00000 -0.00000 0.00000 -0.00000 1.1299e-01 3.4820e-01 9.9836e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.56581 0.46233 0.59174 -0.15492 -0.13696 -0.10078 2.25944e-02 2.05961e-03 -5.5215625575e-01 -5.2750222264e-01
60.005 0.00000 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 1.4212e-01 3.4822e-01 5.0619e-02 -7.3418e-05 1.2980e-01 -6.6423e-07 0.49951 0.46256 0.65781 -0.19502 -0.07016 -0.06238 2.25946e-02 2.05955e-03 -5.5215637561e-01 -5.2750225181e-01
62.005 -0.00000 -0.00000 0.00000 -0.00000 0.00000 -0.00000 1.5096e-01 3.4822e-01 -6.0702e-03 -7.3418e-05 1.2980e-01 -6.6423e-07 0.47952 0.46302 0.67734 -0.20791 0.00759 0.00973 2.25948e-02 2.05945e-03 -5.5215654646e-01 -5.2750228187e-01
