# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 1.1523e-02 4.6082e-01 -1.5568e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42880 0.43010 0.41369 -0.01059 0.01364 0.01189 4.55905e-02 6.17539e-30 -5.7751933196e-01 -5.3192887976e-01
2.005 0.00000 -0.00000 0.00000 -0.00000 -0.00000 -0.00000 -5.6007e-03 4.6626e-01 -1.8941e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42356 0.42508 0.40476 0.00442 0.01629 -0.00992 4.61300e-02 1.95667e-03 -5.8192942172e-01 -5.3384274625e-01
4.005 0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -1.8693e-02 4.6622e-01 -7.2802e-03 -1.2237e-04 1.9787e-01 -1.6637e-05 0.40237 0.42514 0.42588 0.01577 0.00635 -0.00662 4.61265e-02 1.96103e-03 -5.8193058937e-01 -5.3384305415e-01
6.000 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 -1.7321e-02 4.6620e-01 1.0269e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.41054 0.42517 0.41776 0.01471 -0.00876 0.01283 4.61234e-02 1.94546e-03 -5.8191199495e-01 -5.3384310619e-01
8.000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -2.3889e-03 4.6621e-01 1.9875e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42732 0.42516 0.40097 0.00191 -0.01713 0.00042 4.61239e-02 1.94985e-03 -5.8191688031e-01 -5.3384311425e-01
10.000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 1.4375e-02 4.6622e-01 1.3738e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.41143 0.42515 0.41687 -0.01257 -0.01193 -0.01277 4.61238e-02 1.95030e-03 -5.8191726721e-01 -5.3384312102e-01
12.005 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 1.9618e-02 4.6622e-01 -3.4530e-03 -1.2237e-04 1.9787e-01 -1.6637e-05 0.40251 0.42515 0.42579 -0.01716 0.00288 0.00570 4.61238e-02 1.95025e-03 -5.8191721043e-01 -5.3384312753e-01
14.005 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 9.0489e-03 4.6621e-01 -1.8013e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42239 0.42517 0.40589 -0.00808 0.01545 0.00991 4.61239e-02 1.95022e-03 -5.8191722137e-01 -5.3384313388e-01
16.005 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 -8.9822e-03 4.6620e-01 -1.8374e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42179 0.42519 0.40647 0.00746 0.01579 -0.01033 4.61239e-02 1.95025e-03 -5.8191729477e-01 -5.3384314022e-01
18.005 0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 -2.0167e-02 4.6620e-01 -4.1953e-03 -1.2237e-04 1.9787e-01 -1.6637e-05 0.40230 0.42520 0.42594 0.01709 0.00358 -0.00501 4.61239e-02 1.95034e-03 -5.8191740906e-01 -5.3384314656e-01
20.000 0.00000 0.00000 -0.00000 0.00000 -0.00000 0.00000 -1.5639e-02 4.6620e-01 1.3250e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.41198 0.42519 0.41627 0.01320 -0.01144 0.01266 4.61239e-02 1.95048e-03 -5.8191755404e-01 -5.3384315290e-01
22.000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 1.0215e-03 4.6621e-01 2.0197e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42697 0.42517 0.40130 -0.00116 -0.01742 -0.00090 4.61239e-02 1.95068e-03 -5.8191773056e-01 -5.3384315924e-01
24.000 -0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.6589e-02 4.6622e-01 1.1121e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.41022 0.42515 0.41807 -0.01457 -0.00957 -0.01230 4.61239e-02 1.95092e-03 -5.8191793794e-01 -5.3384316556e-01
26.000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.8741e-02 4.6622e-01 -6.7185e-03 -1.2237e-04 1.9787e-01 -1.6637e-05 0.40306 0.42515 0.42523 -0.01637 0.00582 0.00678 4.61238e-02 1.95121e-03 -5.8191817444e-01 -5.3384317184e-01
28.000 -0.00000 0.00000 -0.00000 0.00000 0.00000 0.00000 5.8663e-03 4.6621e-01 -1.9156e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42344 0.42516 0.40484 -0.00521 0.01648 0.00923 4.61237e-02 1.95153e-03 -5.8191843966e-01 -5.3384317807e-01
30.000 -0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.1736e-02 4.6620e-01 -1.6413e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42094 0.42517 0.40733 0.00993 0.01402 -0.01136 4.61237e-02 1.95189e-03 -5.8191873259e-01 -5.3384318423e-01
32.000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -2.0130e-02 4.6619e-01 -8.1466e-04 -1.2237e-04 1.9787e-01 -1.6637e-05 0.40133 0.42517 0.42694 0.01706 0.00054 -0.00392 4.61236e-02 1.95229e-03 -5.8191905130e-01 -5.3384319032e-01
34.000 -0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.2815e-02 4.6620e-01 1.5187e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.41342 0.42515 0.41486 0.01066 -0.01318 0.01353 4.61235e-02 1.95271e-03 -5.8191939357e-01 -5.3384319631e-01
36.000 -0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 4.2245e-03 4.6621e-01 1.8994e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42762 0.42512 0.40069 -0.00403 -0.01634 -0.00263 4.61234e-02 1.95316e-03 -5.8191975729e-01 -5.3384320220e-01
38.000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 1.7441e-02 4.6622e-01 7.8131e-03 -1.2237e-04 1.9787e-01 -1.6637e-05 0.40823 0.42510 0.42011 -0.01532 -0.00661 -0.01257 4.61233e-02 1.95362e-03 -5.8192014025e-01 -5.3384320799e-01
40.005 0.00000 -0.00000 0.00000 0.00000 0.00000 0.00000 1.6509e-02 4.6621e-01 -9.3519e-03 -1.2237e-04 1.9787e-01 -1.6637e-05 0.40335 0.42509 0.42499 -0.01436 0.00817 0.00905 4.61232e-02 1.95410e-03 -5.8192054110e-01 -5.3384321367e-01
42.005 0.00000 -0.00000 0.00000 0.00000 0.00000 0.00000 2.4380e-03 4.6620e-01 -1.8852e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42581 0.42509 0.40253 -0.00215 0.01620 0.00835 4.61231e-02 1.95460e-03 -5.8192095542e-01 -5.3384321921e-01
44.005 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -1.3463e-02 4.6619e-01 -1.3452e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.41941 0.42509 0.40893 0.01146 0.01137 -0.01357 4.61231e-02 1.95510e-03 -5.8192138177e-01 -5.3384322463e-01
46.005 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -1.8725e-02 4.6619e-01 2.2922e-03 -1.2237e-04 1.9787e-01 -1.6637e-05 0.39949 0.42508 0.42886 0.01579 -0.00221 -0.00168 4.61230e-02 1.95560e-03 -5.8192181780e-01 -5.3384322992e-01
48.005 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -9.4920e-03 4.6620e-01 1.5844e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.41632 0.42505 0.41206 0.00771 -0.01374 0.01485 4.61229e-02 1.95611e-03 -5.8192226119e-01 -5.3384323507e-01
50.005 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 6.6748e-03 4.6621e-01 1.6694e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42821 0.42502 0.40019 -0.00618 -0.01428 -0.00594 4.61229e-02 1.95661e-03 -5.8192270971e-01 -5.3384324008e-01
52.005 0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 1.7009e-02 4.6621e-01 4.5123e-03 -1.2237e-04 1.9787e-01 -1.6637e-05 0.40474 0.42500 0.42369 -0.01491 -0.00369 -0.01218 4.61228e-02 1.95710e-03 -5.8192316126e-01 -5.3384324496e-01
54.005 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 1.3634e-02 4.6621e-01 -1.0878e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.40478 0.42499 0.42366 -0.01181 0.00948 0.01249 4.61228e-02 1.95759e-03 -5.8192361387e-01 -5.3384324970e-01
56.005 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -4.4742e-04 4.6620e-01 -1.7438e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42894 0.42499 0.39950 0.00037 0.01491 0.00595 4.61227e-02 1.95807e-03 -5.8192406571e-01 -5.3384325430e-01
58.005 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 -1.4011e-02 4.6619e-01 -1.0334e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.41614 0.42499 0.41230 0.01189 0.00862 -0.01598 4.61227e-02 1.95854e-03 -5.8192451511e-01 -5.3384325877e-01
60.005 0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 -1.6567e-02 4.6619e-01 4.5361e-03 -1.2237e-04 1.9787e-01 -1.6637e-05 0.39809 0.42497 0.43036 0.01386 -0.00414 0.00236 4.61227e-02 1.95900e-03 -5.8192496054e-01 -5.3384326311e-01
62.005 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -6.4644e-03 4.6620e-01 1.5440e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42085 0.42494 0.40764 0.00507 -0.01333 0.01513 4.61227e-02 1.95944e-03 -5.8192540064e-01 -5.3384326731e-01
64.005 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 8.1159e-03 4.6620e-01 1.4074e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.42724 0.42491 0.40127 -0.00738 -0.01197 -0.01049 4.61227e-02 1.95987e-03 -5.8192583420e-01 -5.3384327139e-01
66.005 0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 1.5790e-02 4.6621e-01 1.8578e-03 -1.2237e-04 1.9787e-01 -1.6637e-05 0.40056 0.42489 0.42797 -0.01379 -0.00141 -0.00983 4.61227e-02 1.96028e-03 -5.8192626016e-01 -5.3384327534e-01
68.005 -0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 1.0850e-02 4.6620e-01 -1.1469e-02 -1.2237e-04 1.9787e-01 -1.6637e-05 0.40839 0.42489 0.42015 -0.00937 0.00993 0.01600 4.61227e-02 1.96068e-03 -5.8192667759e-01 -5.3384327918e-01
