# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 8.9843e-03 1.2368e-01 -1.5749e-02 -3.7709e-05 6.2860e-02 -1.4674e-06 0.41153 0.51767 0.42955 -0.03195 0.05569 -0.01375 3.88706e-03 6.89831e-30 -5.6805912688e-01 -5.6417207121e-01
2.005 -0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 3.6368e-03 1.2601e-01 -1.7923e-02 -3.7709e-05 6.2860e-02 -1.4674e-06 0.39825 0.50789 0.42854 -0.01258 0.06110 -0.00551 3.96064e-03 2.40367e-03 -5.7293182775e-01 -5.6656751800e-01
4.005 0.00000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 -2.1201e-03 1.2605e-01 -1.8161e-02 -3.7709e-05 6.2860e-02 -1.4674e-06 0.39780 0.50772 0.42886 0.00708 0.06186 0.00475 3.96184e-03 2.44322e-03 -5.7297343535e-01 -5.6656838024e-01
6.000 -0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -7.6491e-03 1.2605e-01 -1.6612e-02 -3.7709e-05 6.2860e-02 -1.4674e-06 0.40364 0.50773 0.42302 0.02594 0.05654 0.01324 3.96186e-03 2.44351e-03 -5.7297374999e-01 -5.6656838190e-01
8.000 0.00000 -0.00000 0.00000 0.00000 0.00000 0.00000 -1.2431e-02 1.2605e-01 -1.3414e-02 -3.7709e-05 6.2860e-02 -1.4674e-06 0.41349 0.50773 0.41316 0.04224 0.04559 0.01659 3.96186e-03 2.44366e-03 -5.7297390175e-01 -5.6656838198e-01
10.000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -1.5974e-02 1.2604e-01 -8.8873e-03 -3.7709e-05 6.2860e-02 -1.4674e-06 0.42349 0.50773 0.40316 0.05432 0.03011 0.01337 3.96186e-03 2.44368e-03 -5.7297392607e-01 -5.6656838203e-01
12.005 0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 -1.7932e-02 1.2604e-01 -3.4714e-03 -3.7709e-05 6.2860e-02 -1.4674e-06 0.42968 0.50772 0.39699 0.06096 0.01159 0.00472 3.96186e-03 2.44367e-03 -5.7297391753e-01 -5.6656838208e-01
14.005 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -1.8099e-02 1.2604e-01 2.2663e-03 -3.7709e-05 6.2860e-02 -1.4674e-06 0.42951 0.50770 0.39718 0.06148 -0.00801 -0.00599 3.96186e-03 2.44368e-03 -5.7297392234e-01 -5.6656838213e-01
16.005 0.00000 -0.00000 0.00000 -0.00000 0.00000 0.00000 -1.6470e-02 1.2604e-01 7.7657e-03 -3.7709e-05 6.2860e-02 -1.4674e-06 0.42296 0.50767 0.40376 0.05587 -0.02679 -0.01459 3.96186e-03 2.44369e-03 -5.7297393375e-01 -5.6656838218e-01
18.005 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -1.3209e-02 1.2605e-01 1.2478e-02 -3.7709e-05 6.2860e-02 -1.4674e-06 0.41249 0.50764 0.41426 0.04468 -0.04287 -0.01767 3.96186e-03 2.44370e-03 -5.7297395060e-01 -5.6656838222e-01
20.000 0.00000 0.00000 -0.00000 0.00000 0.00000 0.00000 -8.6561e-03 1.2605e-01 1.5929e-02 -3.7709e-05 6.2860e-02 -1.4674e-06 0.40215 0.50760 0.42463 0.02908 -0.05463 -0.01394 3.96186e-03 2.44373e-03 -5.7297397620e-01 -5.6656838227e-01
