# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 3.6447e-02 2.1876e-01 -2.8556e-02 -6.4312e-05 1.0727e-01 3.3038e-06 0.51362 0.51613 0.48394 -0.09551 0.07550 -0.07388 1.17322e-02 7.68667e-30 -5.5285287027e-01 -5.4112066359e-01
2.005 0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 1.7702e-02 2.2260e-01 -4.3089e-02 -6.4312e-05 1.0727e-01 3.3038e-06 0.43376 0.50659 0.54475 -0.04431 0.10938 -0.04923 1.19394e-02 2.28195e-03 -5.5766539856e-01 -5.4344407734e-01
4.005 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -5.8591e-03 2.2272e-01 -4.6095e-02 -6.4312e-05 1.0727e-01 3.3038e-06 0.41810 0.50616 0.56007 0.01547 0.11653 0.02302 1.19461e-02 2.37551e-03 -5.5776829387e-01 -5.4344671101e-01
6.000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -2.7698e-02 2.2271e-01 -3.7109e-02 -6.4312e-05 1.0727e-01 3.3038e-06 0.47250 0.50603 0.50579 0.07070 0.09342 0.07339 1.19459e-02 2.37728e-03 -5.5776991636e-01 -5.4344674458e-01
8.000 0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -4.2236e-02 2.2270e-01 -1.8537e-02 -6.4312e-05 1.0727e-01 3.3038e-06 0.54427 0.50588 0.43417 0.10728 0.04606 0.05225 1.19459e-02 2.37765e-03 -5.5777031536e-01 -5.4344675200e-01
10.000 -0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -4.5676e-02 2.2269e-01 4.7147e-03 -6.4312e-05 1.0727e-01 3.3038e-06 0.56301 0.50569 0.41561 0.11563 -0.01301 -0.02062 1.19459e-02 2.37801e-03 -5.5777070218e-01 -5.4344675803e-01
12.005 -0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 -3.7156e-02 2.2270e-01 2.6597e-02 -6.4312e-05 1.0727e-01 3.3038e-06 0.50965 0.50549 0.46918 0.09363 -0.06844 -0.07443 1.19459e-02 2.37850e-03 -5.5777116827e-01 -5.4344676391e-01
14.005 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 -1.9014e-02 2.2271e-01 4.1304e-02 -6.4312e-05 1.0727e-01 3.3038e-06 0.43589 0.50528 0.54315 0.04734 -0.10551 -0.05615 1.19459e-02 2.37886e-03 -5.5777156083e-01 -5.4344676939e-01
16.005 0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 3.9735e-03 2.2272e-01 4.5093e-02 -6.4312e-05 1.0727e-01 3.3038e-06 0.41340 0.50509 0.56583 -0.01108 -0.11485 0.01687 1.19459e-02 2.37919e-03 -5.5777190846e-01 -5.4344677457e-01
18.005 0.00000 -0.00000 0.00000 0.00000 0.00000 0.00000 2.5782e-02 2.2274e-01 3.7018e-02 -6.4312e-05 1.0727e-01 3.3038e-06 0.46445 0.50494 0.51493 -0.06638 -0.09415 0.07417 1.19459e-02 2.37944e-03 -5.5777215303e-01 -5.4344677972e-01
