# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 5.5559e-02 4.0846e-01 -1.0038e-01 -1.7039e-04 3.0175e-01 -3.0197e-06 0.51357 0.78508 0.56278 -0.08049 0.14395 -0.04156 6.16220e-02 1.10337e-29 -5.2014916170e-01 -4.5852712746e-01
2.005 -0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -7.8295e-02 4.1247e-01 -8.5063e-02 -1.7039e-04 3.0175e-01 -3.0197e-06 0.52393 0.77699 0.53935 0.10874 0.12015 0.04703 6.22518e-02 9.49073e-04 -5.2292567660e-01 -4.5972478418e-01
4.005 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -1.0677e-01 4.1333e-01 4.5758e-02 -1.7039e-04 3.0175e-01 -3.0197e-06 0.56321 0.77546 0.49723 0.14862 -0.06334 -0.03206 6.23753e-02 1.24127e-03 -5.2340245609e-01 -4.5978592428e-01
6.000 0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 7.4273e-03 4.1365e-01 1.1606e-01 -1.7039e-04 3.0175e-01 -3.0197e-06 0.48534 0.77497 0.57481 -0.01095 -0.16139 0.00649 6.24121e-02 1.28436e-03 -5.2348768930e-01 -4.5979121474e-01
8.000 -0.00000 0.00000 -0.00000 0.00000 -0.00000 0.00000 1.1166e-01 4.1381e-01 3.0839e-02 -1.7039e-04 3.0175e-01 -3.0197e-06 0.57101 0.77449 0.48939 -0.15611 -0.04233 0.02169 6.24252e-02 1.29532e-03 -5.2351256855e-01 -4.5979207642e-01
10.000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 6.4970e-02 4.1379e-01 -9.5288e-02 -1.7039e-04 3.0175e-01 -3.0197e-06 0.51091 0.77422 0.54968 -0.09075 0.13347 -0.04393 6.24265e-02 1.30389e-03 -5.2352307972e-01 -4.5979272830e-01
12.005 0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 -6.9511e-02 4.1368e-01 -9.1866e-02 -1.7039e-04 3.0175e-01 -3.0197e-06 0.51705 0.77429 0.54352 0.09695 0.12863 0.04721 6.24214e-02 1.30349e-03 -5.2351819043e-01 -4.5979327534e-01
14.005 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 0.00000 -1.0962e-01 4.1360e-01 3.6093e-02 -1.7039e-04 3.0175e-01 -3.0197e-06 0.57027 0.77452 0.49017 0.15313 -0.05005 -0.02742 6.24136e-02 1.29875e-03 -5.2350612512e-01 -4.5979376439e-01
16.005 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 0.00000 -1.6507e-03 4.1365e-01 1.1574e-01 -1.7039e-04 3.0175e-01 -3.0197e-06 0.48340 0.77468 0.57699 0.00247 -0.16147 -0.00339 6.24099e-02 1.28900e-03 -5.2349309776e-01 -4.5979423174e-01
18.005 -0.00000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 1.0917e-01 4.1374e-01 3.9455e-02 -1.7039e-04 3.0175e-01 -3.0197e-06 0.56445 0.77475 0.49591 -0.15219 -0.05515 0.02977 6.24138e-02 1.27851e-03 -5.2348689359e-01 -4.5979459918e-01
20.000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 7.3294e-02 4.1370e-01 -9.0112e-02 -1.7039e-04 3.0175e-01 -3.0197e-06 0.52017 0.77484 0.54014 -0.10220 0.12548 -0.04424 6.24117e-02 1.27779e-03 -5.2348440427e-01 -4.5979491157e-01
22.000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -6.0936e-02 4.1359e-01 -9.8575e-02 -1.7039e-04 3.0175e-01 -3.0197e-06 0.51118 0.77483 0.54912 0.08511 0.13718 0.04281 6.24064e-02 1.28516e-03 -5.2348685984e-01 -4.5979526350e-01
24.000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 -0.00000 -1.1262e-01 4.1355e-01 2.5278e-02 -1.7039e-04 3.0175e-01 -3.0197e-06 0.57327 0.77463 0.48726 0.15707 -0.03591 -0.02246 6.24054e-02 1.28432e-03 -5.2348530759e-01 -4.5979562222e-01
