# relevant notebook is oblates_vary_h  prolates a? b? c?
#tilde_om, h, theta, omega_x, omega_z, omega_prec, c9,c10 should be run longer
10 0.50 1.1111 0.5236 0.2238 0.4330 -0.0455 -4.5711e-09 
1  0.50 1.2589 0.5236 0.1934 0.4330 -0.0980 -1.3502e-08 
2  0.50 1.4958 0.5236 0.1544 0.4330 -0.1655 -2.2727e-08
3  0.50 1.7773 0.5236 0.1202 0.4330 -0.2248 -2.0813e-08 
4  0.50 2.1117 0.5236 0.0916 0.4330 -0.2744 -1.8022e-08
5  0.50 2.5090 0.5236 0.0685 0.4330 -0.3143 -1.0713e-08 
6  0.50 2.9811 0.5236 0.0506 0.4330 -0.3454 -5.6656e-09
7  0.50 3.5420 0.5236 0.0369 0.4330 -0.3691 -3.1049e-09 
8  0.50 4.2085 0.5236 0.0267 0.4330 -0.3867 -1.4295e-09
9  0.50 5.0003 0.5236 0.0192 0.4330 -0.3997 -6.6508e-10
10 0.50 1.1111 0.7854 0.3164 0.3536 -0.0371 -4.5365e-09 
1  0.50 1.2589 0.7854 0.2736 0.3536 -0.0800 -1.5484e-08
2  0.50 1.4958 0.7854 0.2184 0.3536 -0.1351 -2.2289e-08
3  0.50 1.7773 0.7854 0.1700 0.3536 -0.1835 -2.0877e-08
4  0.50 2.1117 0.7854 0.1295 0.3536 -0.2240 -1.5108e-08
5  0.50 2.5090 0.7854 0.0969 0.3536 -0.2566 -9.8849e-09
6  0.50 2.9811 0.7854 0.0715 0.3536 -0.2820 -5.0216e-09
7  0.50 3.5420 0.7854 0.0522 0.3536 -0.3014 -2.5339e-09
8  0.50 4.2085 0.7854 0.0378 0.3536 -0.3158 -1.4050e-09
9  0.50 5.0003 0.7854 0.0272 0.3536 -0.3264 -6.6191e-10
10 0.50 1.1111 1.0472 0.3876 0.2500 -0.0262 -1.9901e-09
1  0.50 1.2589 1.0472 0.3350 0.2500 -0.0566 -8.7571e-09
2  0.50 1.4958 1.0472 0.2675 0.2500 -0.0956 -1.1402e-08
3  0.50 1.7773 1.0472 0.2082 0.2500 -0.1298 -9.2906e-09
4  0.50 2.1117 1.0472 0.1586 0.2500 -0.1584 -6.3275e-09 
5  0.50 2.5090 1.0472 0.1187 0.2500 -0.1815 -3.6924e-09
6  0.50 2.9811 1.0472 0.0876 0.2500 -0.1994 -1.9986e-09
7  0.50 3.5420 1.0472 0.0639 0.2500 -0.2131 -1.0450e-09
8  0.50 4.2085 1.0472 0.0463 0.2500 -0.2233 -5.1546e-10 
9  0.50 5.0003 1.0472 0.0333 0.2500 -0.2308 -2.56e-10 
