# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 -0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 1.0396e-02 5.1314e-01 -1.8737e-02 -1.4154e-04 2.2845e-01 -1.0634e-05 0.41553 0.44593 0.42311 -0.00881 0.01549 -0.00321 5.86123e-02 7.30138e-30 -5.7489111489e-01 -5.1627878408e-01
2.005 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 0.00000 -1.2240e-02 5.1853e-01 -1.7633e-02 -1.4154e-04 2.2845e-01 -1.0634e-05 0.41219 0.44127 0.41274 0.00963 0.01414 0.00515 5.92297e-02 1.81063e-03 -5.7908539183e-01 -5.1804509131e-01
4.005 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -2.1293e-02 5.1850e-01 2.8859e-03 -1.4154e-04 2.2845e-01 -1.0634e-05 0.41693 0.44130 0.40798 0.01687 -0.00241 -0.00298 5.92265e-02 1.81305e-03 -5.7908509993e-01 -5.1804553630e-01
6.000 -0.00000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 -7.0002e-03 5.1847e-01 1.9971e-02 -1.4154e-04 2.2845e-01 -1.0634e-05 0.40724 0.44131 0.41775 0.00530 -0.01614 -0.00195 5.92218e-02 1.79473e-03 -5.7906217385e-01 -5.1804562864e-01
8.000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 1.4617e-02 5.1849e-01 1.4728e-02 -1.4154e-04 2.2845e-01 -1.0634e-05 0.41405 0.44128 0.41095 -0.01210 -0.01185 0.00560 5.92223e-02 1.79985e-03 -5.7906781228e-01 -5.1804564593e-01
10.000 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 1.9429e-02 5.1849e-01 -6.9136e-03 -1.4154e-04 2.2845e-01 -1.0634e-05 0.41626 0.44127 0.40875 -0.01593 0.00560 -0.00465 5.92223e-02 1.80060e-03 -5.7906856355e-01 -5.1804566005e-01
12.005 0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 2.1143e-03 5.1848e-01 -2.0732e-02 -1.4154e-04 2.2845e-01 -1.0634e-05 0.40640 0.44129 0.41859 -0.00194 0.01672 -0.00033 5.92225e-02 1.80058e-03 -5.7906870666e-01 -5.1804567356e-01
14.005 -0.00000 0.00000 -0.00000 0.00000 -0.00000 0.00000 -1.7806e-02 5.1847e-01 -1.1284e-02 -1.4154e-04 2.2845e-01 -1.0634e-05 0.41582 0.44130 0.40916 0.01412 0.00906 0.00525 5.92227e-02 1.80042e-03 -5.7906879483e-01 -5.1804568681e-01
16.005 0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 -1.8083e-02 5.1847e-01 1.0718e-02 -1.4154e-04 2.2845e-01 -1.0634e-05 0.41487 0.44129 0.41011 0.01432 -0.00870 -0.00583 5.92229e-02 1.80029e-03 -5.7906889971e-01 -5.1804570003e-01
18.005 -0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 1.5311e-03 5.1849e-01 2.0625e-02 -1.4154e-04 2.2845e-01 -1.0634e-05 0.40631 0.44127 0.41869 -0.00153 -0.01668 0.00144 5.92231e-02 1.80021e-03 -5.7906900500e-01 -5.1804571325e-01
