# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 -0.00000 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 1.0162e-01 6.5094e-01 -1.0487e-01 -1.9782e-04 3.3471e-01 -3.3281e-06 0.48658 0.54168 0.47782 -0.08647 0.08686 -0.06333 1.08928e-01 8.00519e-30 -5.5401668508e-01 -4.4508867377e-01
2.005 -0.00000 0.00000 -0.00000 0.00000 -0.00000 0.00000 -1.0847e-01 6.5246e-01 -9.8840e-02 -1.9782e-04 3.3471e-01 -3.3281e-06 0.47412 0.54010 0.47642 0.08791 0.08247 0.06197 1.09212e-01 1.26330e-03 -5.5679766979e-01 -4.4632260588e-01
4.005 -0.00000 -0.00000 0.00000 -0.00000 0.00000 0.00000 -9.9441e-02 6.5265e-01 1.1010e-01 -1.9782e-04 3.3471e-01 -3.3281e-06 0.47016 0.54043 0.47959 0.08139 -0.08999 -0.05960 1.09235e-01 1.26313e-03 -5.5685127394e-01 -4.4635265527e-01
6.000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.0998e-01 6.5274e-01 9.8147e-02 -1.9782e-04 3.3471e-01 -3.3281e-06 0.48552 0.54013 0.46457 -0.09105 -0.07988 0.05948 1.09229e-01 1.25101e-03 -5.5684335912e-01 -4.4636317329e-01
8.000 -0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 9.4563e-02 6.5260e-01 -1.1015e-01 -1.9782e-04 3.3471e-01 -3.3281e-06 0.45994 0.53956 0.49075 -0.07729 0.09171 -0.06128 1.09208e-01 1.27446e-03 -5.5684951940e-01 -4.4636676324e-01
10.000 0.00000 -0.00000 0.00000 0.00000 0.00000 0.00000 -1.1088e-01 6.5243e-01 -9.0627e-02 -1.9782e-04 3.3471e-01 -3.3281e-06 0.49367 0.53906 0.45763 0.09242 0.07437 0.06356 1.09200e-01 1.27627e-03 -5.5684626779e-01 -4.4637037442e-01
12.005 0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -8.5992e-02 6.5241e-01 1.1281e-01 -1.9782e-04 3.3471e-01 -3.3281e-06 0.45701 0.53869 0.49475 0.07115 -0.09410 -0.06483 1.09193e-01 1.27230e-03 -5.5683923672e-01 -4.4637369426e-01
14.005 0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 1.1593e-01 6.5248e-01 8.2099e-02 -1.9782e-04 3.3471e-01 -3.3281e-06 0.49413 0.53875 0.45759 -0.09618 -0.06899 0.06422 1.09186e-01 1.26832e-03 -5.5683090788e-01 -4.4637708247e-01
16.005 -0.00000 -0.00000 0.00000 -0.00000 0.00000 0.00000 7.9779e-02 6.5248e-01 -1.2053e-01 -1.9782e-04 3.3471e-01 -3.3281e-06 0.45695 0.53947 0.49402 -0.06749 0.09874 -0.06126 1.09190e-01 1.25713e-03 -5.5682775041e-01 -4.4638048965e-01
18.005 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 0.00000 -1.2438e-01 6.5239e-01 -7.9343e-02 -1.9782e-04 3.3471e-01 -3.3281e-06 0.49615 0.54038 0.45380 0.10123 0.06606 0.05706 1.09196e-01 1.25253e-03 -5.5683205555e-01 -4.4638394378e-01
