# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 1.8396e-01 8.6783e-01 -1.0407e-01 -4.7639e-04 9.8279e-01 -4.7541e-04 1.53171 1.23458 1.18262 -0.36353 0.20896 -0.31935 4.26431e-01 2.10919e-29 -3.9329912498e-01 3.3131616527e-02
2.005 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -1.2259e-01 8.0968e-01 -1.4026e-01 -4.7639e-04 9.8279e-01 -4.7541e-04 1.40548 1.30775 1.35113 0.28280 0.29517 0.40752 3.98452e-01 1.22186e-02 -3.8848739706e-01 2.2183049017e-02
4.005 -0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -9.2034e-02 8.1191e-01 1.5909e-01 -4.7639e-04 9.8279e-01 -4.7541e-04 1.13820 1.30097 1.57601 0.19603 -0.34850 -0.34496 3.99334e-01 1.10564e-02 -3.9063844305e-01 1.9752165703e-02
6.000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 1.7938e-01 8.0727e-01 4.5427e-02 -4.7639e-04 9.8279e-01 -4.7541e-04 1.71812 1.31041 1.00313 -0.39321 -0.09990 0.19289 3.97234e-01 1.19353e-02 -3.8991511140e-01 1.9254285983e-02
8.000 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 -4.1903e-03 8.0633e-01 -1.8861e-01 -4.7639e-04 9.8279e-01 -4.7541e-04 0.95416 1.31474 1.75379 0.00828 0.40974 0.01671 3.96817e-01 1.25494e-02 -3.9027770493e-01 1.9088417733e-02
10.000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -1.8142e-01 8.0455e-01 5.6233e-02 -4.7639e-04 9.8279e-01 -4.7541e-04 1.68146 1.31894 1.02267 0.39408 -0.12213 -0.22199 3.95837e-01 1.33633e-02 -3.9024389094e-01 1.8956850244e-02
12.005 0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 1.0468e-01 8.0528e-01 1.5800e-01 -4.7639e-04 9.8279e-01 -4.7541e-04 1.19341 1.31751 1.51216 -0.22690 -0.34444 0.36280 3.96224e-01 1.27983e-02 -3.9018904226e-01 1.8833571701e-02
14.005 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 1.2322e-01 8.0555e-01 -1.4204e-01 -4.7639e-04 9.8279e-01 -4.7541e-04 1.29987 1.31541 1.40594 -0.26899 0.30766 -0.39459 3.96546e-01 1.23305e-02 -3.9017431051e-01 1.8702558287e-02
16.005 0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -1.6727e-01 8.0394e-01 -7.8624e-02 -4.7639e-04 9.8279e-01 -4.7541e-04 1.59073 1.31462 1.10395 0.36139 0.17336 0.31714 3.96119e-01 1.29025e-02 -3.9044395981e-01 1.8577176567e-02
18.005 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 -2.6590e-02 7.9973e-01 1.7957e-01 -4.7639e-04 9.8279e-01 -4.7541e-04 0.97361 1.31771 1.68967 0.06828 -0.38540 -0.16260 3.94965e-01 1.44678e-02 -3.9098605137e-01 1.8447079070e-02
