# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 3.1897e-02 9.2053e-01 -4.0072e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.42804 0.44298 0.42995 -0.01518 0.01878 -0.00191 1.87112e-01 8.37887e-29 -5.7206603319e-01 -3.8495365786e-01
2.000 -0.00000 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -4.8603e-02 9.1996e-01 -1.7437e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.43210 0.44325 0.42508 0.02255 0.00802 -0.00066 1.87007e-01 1.14761e-04 -5.7218912385e-01 -3.8506755942e-01
4.004 -0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 -1.0454e-03 9.1999e-01 5.0238e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.42577 0.44318 0.43148 -0.00005 -0.02356 0.00482 1.87007e-01 1.14359e-04 -5.7218917623e-01 -3.8506761202e-01
6.004 0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 4.5809e-02 9.2002e-01 -1.5777e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.42736 0.44309 0.42998 -0.02168 0.00774 -0.00751 1.87007e-01 1.14253e-04 -5.7218900142e-01 -3.8506763456e-01
8.004 -0.00000 0.00000 -0.00000 0.00000 -0.00000 0.00000 -2.9952e-02 9.1997e-01 -3.7160e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.43577 0.44306 0.42161 0.01418 0.01723 0.00638 1.87007e-01 1.14117e-04 -5.7218884414e-01 -3.8506765604e-01
10.000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 -2.4681e-02 9.1998e-01 3.8608e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.41749 0.44297 0.43997 0.01098 -0.01850 -0.00112 1.87007e-01 1.13993e-04 -5.7218871488e-01 -3.8506767629e-01
12.000 -0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 4.2099e-02 9.2002e-01 8.8367e-03 -2.4819e-04 4.0654e-01 -4.1597e-06 0.43989 0.44285 0.41770 -0.02034 -0.00372 -0.00647 1.87007e-01 1.13925e-04 -5.7218861840e-01 -3.8506769527e-01
14.000 0.00000 0.00000 -0.00000 0.00000 -0.00000 0.00000 -7.0828e-03 9.1999e-01 -4.1101e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.42304 0.44280 0.43460 0.00356 0.01951 0.01290 1.87007e-01 1.13939e-04 -5.7218855649e-01 -3.8506771293e-01
16.000 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 -3.4908e-02 9.1997e-01 2.0029e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.42587 0.44274 0.43184 0.01621 -0.00997 -0.01494 1.87007e-01 1.14041e-04 -5.7218852744e-01 -3.8506772933e-01
18.000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 2.9522e-02 9.2001e-01 2.3469e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.44057 0.44264 0.41723 -0.01469 -0.01100 0.01109 1.87007e-01 1.14220e-04 -5.7218852706e-01 -3.8506774461e-01
20.004 0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 9.2858e-03 9.2000e-01 -3.5569e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.41239 0.44261 0.44545 -0.00452 0.01724 -0.00234 1.87006e-01 1.14451e-04 -5.7218854948e-01 -3.8506775899e-01
22.004 -0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 -3.6344e-02 9.1997e-01 4.5033e-03 -2.4819e-04 4.0654e-01 -4.1597e-06 0.44413 0.44260 0.41371 0.01731 -0.00234 -0.00775 1.87006e-01 1.14698e-04 -5.7218858754e-01 -3.8506777266e-01
24.004 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 1.7351e-02 9.2000e-01 3.0898e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.42086 0.44256 0.43703 -0.00872 -0.01497 0.01522 1.87006e-01 1.14925e-04 -5.7218863360e-01 -3.8506778592e-01
26.004 -0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 2.1021e-02 9.2000e-01 -2.8691e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.42686 0.44256 0.43102 -0.01055 0.01383 -0.01704 1.87006e-01 1.15097e-04 -5.7218867969e-01 -3.8506779907e-01
28.004 -0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 -3.6013e-02 9.1996e-01 -8.9750e-03 -2.4819e-04 4.0654e-01 -4.1597e-06 0.44017 0.44262 0.41765 0.01708 0.00456 0.01252 1.87006e-01 1.15180e-04 -5.7218871786e-01 -3.8506781239e-01
30.004 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 4.8299e-03 9.1999e-01 3.7296e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.41301 0.44264 0.44480 -0.00229 -0.01802 -0.00365 1.87006e-01 1.15147e-04 -5.7218874036e-01 -3.8506782620e-01
32.004 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 3.3322e-02 9.2001e-01 -1.9706e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.44328 0.44268 0.41448 -0.01645 0.00909 -0.00588 1.87006e-01 1.14980e-04 -5.7218873999e-01 -3.8506784077e-01
34.004 -0.00000 0.00000 -0.00000 0.00000 -0.00000 0.00000 -3.2663e-02 9.1997e-01 -2.5462e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.42101 0.44279 0.43665 0.01502 0.01252 0.01225 1.87006e-01 1.14674e-04 -5.7218871054e-01 -3.8506785637e-01
36.004 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 -1.3471e-02 9.1998e-01 4.0906e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.42809 0.44285 0.42949 0.00659 -0.01930 -0.01326 1.87007e-01 1.14238e-04 -5.7218864739e-01 -3.8506787320e-01
38.000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 4.4266e-02 9.2002e-01 -2.1127e-03 -2.4819e-04 4.0654e-01 -4.1597e-06 0.43613 0.44290 0.42140 -0.02123 0.00052 0.00926 1.87007e-01 1.13703e-04 -5.7218854849e-01 -3.8506789138e-01
40.000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -1.8604e-02 9.1998e-01 -4.3164e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.41891 0.44303 0.43850 0.00808 0.02052 -0.00266 1.87007e-01 1.13112e-04 -5.7218841420e-01 -3.8506791106e-01
42.000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -3.6387e-02 9.1996e-01 3.2644e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.43630 0.44312 0.42103 0.01710 -0.01507 -0.00313 1.87005e-01 1.12459e-04 -5.7218575504e-01 -3.8506796458e-01
44.000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 4.3364e-02 9.2001e-01 2.3599e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.42571 0.44314 0.43160 -0.02048 -0.01134 0.00552 1.87006e-01 1.11902e-04 -5.7218557399e-01 -3.8506797550e-01
46.000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 7.4389e-03 9.1999e-01 -5.0242e-02 -2.4819e-04 4.0654e-01 -4.1597e-06 0.42742 0.44321 0.42982 -0.00395 0.02350 -0.00406 1.87006e-01 1.11536e-04 -5.7218537486e-01 -3.8506798727e-01
