# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 -0.00000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 3.0263e-02 9.2062e-01 -3.9292e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42983 0.44495 0.43048 -0.01453 0.01850 -0.00297 1.88016e-01 2.50623e-29 -5.7121910589e-01 -3.8320314878e-01
2.000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000 -4.7545e-02 9.1870e-01 -1.5961e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.43214 0.44589 0.42537 0.02210 0.00745 0.00068 1.87634e-01 4.06342e-04 -5.7165362017e-01 -3.8361293344e-01
4.004 0.00000 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 1.2977e-04 9.1866e-01 4.9133e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42542 0.44586 0.43212 -0.00052 -0.02309 0.00354 1.87621e-01 4.18036e-04 -5.7165365882e-01 -3.8361446193e-01
6.004 0.00000 -0.00000 0.00000 0.00000 0.00000 0.00000 4.4610e-02 9.1869e-01 -1.6681e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42856 0.44579 0.42906 -0.02120 0.00813 -0.00655 1.87621e-01 4.18063e-04 -5.7165361694e-01 -3.8361465759e-01
8.004 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -3.0763e-02 9.1864e-01 -3.5893e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.43447 0.44578 0.42316 0.01451 0.01676 0.00601 1.87619e-01 4.19410e-04 -5.7165348222e-01 -3.8361484908e-01
10.000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 -2.3455e-02 9.1863e-01 3.9367e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.41908 0.44572 0.43862 0.01049 -0.01881 -0.00146 1.87618e-01 4.20306e-04 -5.7165325916e-01 -3.8361503127e-01
12.000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 4.2684e-02 9.1867e-01 7.6109e-03 -2.5028e-04 4.0846e-01 2.3130e-05 0.43885 0.44561 0.41896 -0.02062 -0.00319 -0.00546 1.87617e-01 4.20727e-04 -5.7165296271e-01 -3.8361520422e-01
14.000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -8.4578e-03 9.1864e-01 -4.1479e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42368 0.44557 0.43417 0.00415 0.01973 0.01146 1.87616e-01 4.20808e-04 -5.7165261148e-01 -3.8361536759e-01
16.000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -3.5144e-02 9.1862e-01 2.1544e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42619 0.44553 0.43171 0.01635 -0.01061 -0.01340 1.87616e-01 4.20705e-04 -5.7165222685e-01 -3.8361552180e-01
18.000 0.00000 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 3.1006e-02 9.1866e-01 2.3502e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.43972 0.44543 0.41828 -0.01537 -0.01101 0.00984 1.87616e-01 4.20547e-04 -5.7165183104e-01 -3.8361566766e-01
20.004 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 8.9587e-03 9.1864e-01 -3.6938e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.41393 0.44540 0.44410 -0.00438 0.01790 -0.00172 1.87615e-01 4.20395e-04 -5.7165144437e-01 -3.8361580662e-01
22.004 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -3.7623e-02 9.1861e-01 5.1640e-03 -2.5028e-04 4.0846e-01 2.3130e-05 0.44264 0.44540 0.41539 0.01790 -0.00262 -0.00758 1.87615e-01 4.20244e-04 -5.7165108763e-01 -3.8361593971e-01
24.004 -0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 1.8154e-02 9.1864e-01 3.1997e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42225 0.44536 0.43583 -0.00911 -0.01544 0.01427 1.87615e-01 4.20026e-04 -5.7165077735e-01 -3.8361606913e-01
26.004 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 2.1771e-02 9.1865e-01 -2.9530e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42632 0.44535 0.43177 -0.01088 0.01427 -0.01555 1.87615e-01 4.19644e-04 -5.7165052952e-01 -3.8361619710e-01
28.004 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -3.6890e-02 9.1861e-01 -9.3907e-03 -2.5028e-04 4.0846e-01 2.3130e-05 0.44007 0.44540 0.41796 0.01751 0.00474 0.01090 1.87615e-01 4.19001e-04 -5.7165035942e-01 -3.8361632606e-01
30.004 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 4.5545e-03 9.1864e-01 3.8104e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.41413 0.44541 0.44389 -0.00223 -0.01838 -0.00236 1.87616e-01 4.18030e-04 -5.7165028200e-01 -3.8361645853e-01
32.004 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 3.3883e-02 9.1867e-01 -1.9456e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.44187 0.44544 0.41613 -0.01671 0.00908 -0.00645 1.87617e-01 4.16730e-04 -5.7165031181e-01 -3.8361659699e-01
34.004 0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -3.2428e-02 9.1863e-01 -2.5787e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42272 0.44553 0.43519 0.01498 0.01266 0.01194 1.87619e-01 4.15177e-04 -5.7165046207e-01 -3.8361674370e-01
36.004 0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 -1.3763e-02 9.1865e-01 4.0570e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42706 0.44558 0.43079 0.00666 -0.01918 -0.01219 1.87620e-01 4.13534e-04 -5.7165074304e-01 -3.8361690047e-01
38.000 -0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 4.3645e-02 9.1870e-01 -1.7267e-03 -2.5028e-04 4.0846e-01 2.3130e-05 0.43670 0.44561 0.42110 -0.02100 0.00045 0.00780 1.87622e-01 4.12030e-04 -5.7165115844e-01 -3.8361706810e-01
40.000 0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -1.8095e-02 9.1867e-01 -4.2275e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.41941 0.44571 0.43829 0.00793 0.02017 -0.00125 1.87624e-01 4.10903e-04 -5.7165170612e-01 -3.8361724752e-01
42.000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -3.5447e-02 9.1862e-01 3.1873e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.43552 0.44581 0.42212 0.01668 -0.01478 -0.00410 1.87616e-01 4.09251e-04 -5.7164297761e-01 -3.8361736920e-01
44.000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 4.2144e-02 9.1866e-01 2.2758e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42706 0.44582 0.43057 -0.02001 -0.01091 0.00589 1.87615e-01 4.10248e-04 -5.7164292582e-01 -3.8361741635e-01
46.000 0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 6.7418e-03 9.1864e-01 -4.8591e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42647 0.44587 0.43110 -0.00361 0.02286 -0.00386 1.87615e-01 4.11323e-04 -5.7164389284e-01 -3.8361745806e-01
48.000 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 -4.9307e-02 9.1860e-01 9.3625e-03 -2.5028e-04 4.0846e-01 2.3130e-05 0.43200 0.44593 0.42551 0.02292 -0.00432 -0.00010 1.87615e-01 4.12407e-04 -5.7164476270e-01 -3.8361749987e-01
50.000 0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 2.4363e-02 9.1864e-01 4.2991e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42798 0.44589 0.42956 -0.01177 -0.02016 0.00307 1.87614e-01 4.13611e-04 -5.7164551525e-01 -3.8361754158e-01
52.000 0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 3.1437e-02 9.1865e-01 -3.7400e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42559 0.44587 0.43197 -0.01495 0.01771 -0.00284 1.87614e-01 4.14851e-04 -5.7164614880e-01 -3.8361758304e-01
54.000 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -4.5812e-02 9.1860e-01 -1.7371e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.43459 0.44588 0.42296 0.02139 0.00798 -0.00079 1.87613e-01 4.15863e-04 -5.7164664418e-01 -3.8361762373e-01
56.000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 -0.00000 -1.7546e-03 9.1862e-01 4.7419e-02 -2.5028e-04 4.0846e-01 2.3130e-05 0.42394 0.44580 0.43369 0.00024 -0.02235 0.00584 1.87613e-01 4.16484e-04 -5.7164697350e-01 -3.8361766314e-01
