# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 3.5775e-02 9.2011e-01 -4.6004e-02 -2.4915e-04 4.0611e-01 1.3961e-05 0.43348 0.44312 0.43114 -0.01714 0.02158 -0.00033 1.86830e-01 7.17470e-29 -5.7071301632e-01 -3.8388332008e-01
2.000 0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 -5.5197e-02 9.1935e-01 -2.0615e-02 -2.4915e-04 4.0611e-01 1.3961e-05 0.43313 0.44350 0.43036 0.02570 0.00958 -0.00148 1.86687e-01 1.55525e-04 -5.7088096916e-01 -3.8403851801e-01
4.004 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 0.00000 -3.4531e-03 9.1938e-01 5.7448e-02 -2.4915e-04 4.0611e-01 1.3961e-05 0.43093 0.44341 0.43264 0.00103 -0.02700 0.00516 1.86688e-01 1.54389e-04 -5.7088066105e-01 -3.8403858986e-01
6.004 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 5.3420e-02 9.1942e-01 -1.4257e-02 -2.4915e-04 4.0611e-01 1.3961e-05 0.42854 0.44329 0.43517 -0.02529 0.00720 -0.00755 1.86687e-01 1.54527e-04 -5.7088003782e-01 -3.8403864053e-01
8.004 0.00000 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -2.9510e-02 9.1936e-01 -4.5049e-02 -2.4915e-04 4.0611e-01 1.3961e-05 0.44116 0.44321 0.42263 0.01418 0.02092 0.00602 1.86686e-01 1.55104e-04 -5.7087965734e-01 -3.8403868732e-01
10.000 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -3.2819e-02 9.1935e-01 3.9323e-02 -2.4915e-04 4.0611e-01 1.3961e-05 0.41835 0.44308 0.44557 0.01467 -0.01905 -0.00007 1.86685e-01 1.55996e-04 -5.7087951950e-01 -3.8403872951e-01
12.000 0.00000 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 4.4069e-02 9.1940e-01 1.7087e-02 -2.4915e-04 4.0611e-01 1.3961e-05 0.44540 0.44288 0.41872 -0.02146 -0.00736 -0.00856 1.86684e-01 1.57046e-04 -5.7087960504e-01 -3.8403876682e-01
14.000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000 9.9479e-04 9.1937e-01 -4.4525e-02 -2.4915e-04 4.0611e-01 1.3961e-05 0.42484 0.44276 0.43940 0.00005 0.02128 0.01619 1.86683e-01 1.58103e-04 -5.7087987991e-01 -3.8403879919e-01
16.000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 -0.00000 -4.0064e-02 9.1934e-01 1.2453e-02 -2.4915e-04 4.0611e-01 1.3961e-05 0.42919 0.44265 0.43517 0.01869 -0.00671 -0.01914 1.86682e-01 1.59059e-04 -5.7088030220e-01 -3.8403882699e-01
18.000 -0.00000 0.00000 0.00000 -0.00000 0.00000 -0.00000 2.2859e-02 9.1937e-01 3.0465e-02 -2.4915e-04 4.0611e-01 1.3961e-05 0.44607 0.44249 0.41844 -0.01187 -0.01423 0.01541 1.86682e-01 1.59851e-04 -5.7088082946e-01 -3.8403885085e-01
