# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 0.00000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 3.1499e-02 9.2053e-01 -4.0342e-02 -2.4739e-04 4.0894e-01 5.3342e-06 0.42970 0.44560 0.43501 -0.01503 0.01912 -0.00138 1.88219e-01 2.55135e-29 -5.7011283141e-01 -3.8189355954e-01
2.000 -0.00000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 -4.7871e-02 9.1646e-01 -1.7151e-02 -2.4739e-04 4.0894e-01 5.3342e-06 0.43483 0.44754 0.42506 0.02241 0.00787 -0.00180 1.87428e-01 8.02685e-04 -5.7078941021e-01 -3.8255913921e-01
4.004 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 -1.5358e-03 9.1662e-01 4.9268e-02 -2.4739e-04 4.0894e-01 5.3342e-06 0.42663 0.44739 0.43345 0.00009 -0.02328 0.00656 1.87425e-01 7.64453e-04 -5.7078285910e-01 -3.8259346508e-01
6.004 -0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 4.4840e-02 9.1698e-01 -1.4453e-02 -2.4739e-04 4.0894e-01 5.3342e-06 0.42862 0.44713 0.43169 -0.02138 0.00726 -0.00928 1.87491e-01 6.98280e-04 -5.7078447918e-01 -3.8259551523e-01
8.004 0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 -2.7988e-02 9.1686e-01 -3.6687e-02 -2.4739e-04 4.0894e-01 5.3342e-06 0.43818 0.44712 0.42217 0.01342 0.01714 0.00794 1.87477e-01 7.10095e-04 -5.7078278149e-01 -3.8259601527e-01
10.000 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 -2.5042e-02 9.1684e-01 3.6350e-02 -2.4739e-04 4.0894e-01 5.3342e-06 0.41745 0.44704 0.44298 0.01122 -0.01762 -0.00227 1.87472e-01 7.13395e-04 -5.7078199197e-01 -3.8259632840e-01
12.000 -0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 3.9948e-02 9.1688e-01 1.0178e-02 -2.4739e-04 4.0894e-01 5.3342e-06 0.44341 0.44692 0.41715 -0.01952 -0.00436 -0.00597 1.87472e-01 7.13310e-04 -5.7078169467e-01 -3.8259660343e-01
14.000 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 -4.9042e-03 9.1685e-01 -3.9513e-02 -2.4739e-04 4.0894e-01 5.3342e-06 0.42221 0.44686 0.43841 0.00256 0.01897 0.01336 1.87471e-01 7.14465e-04 -5.7078185283e-01 -3.8259686084e-01
16.000 0.00000 0.00000 -0.00000 0.00000 -0.00000 0.00000 -3.4310e-02 9.1682e-01 1.7345e-02 -2.4739e-04 4.0894e-01 5.3342e-06 0.42946 0.44681 0.43121 0.01612 -0.00877 -0.01659 1.87469e-01 7.15909e-04 -5.7078247282e-01 -3.8259709878e-01
18.000 -0.00000 0.00000 -0.00000 0.00000 -0.00000 0.00000 2.6766e-02 9.1686e-01 2.4085e-02 -2.4739e-04 4.0894e-01 5.3342e-06 0.44085 0.44672 0.41991 -0.01350 -0.01143 0.01387 1.87469e-01 7.17486e-04 -5.7078355417e-01 -3.8259731971e-01
20.004 0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 1.1063e-02 9.1685e-01 -3.3280e-02 -2.4739e-04 4.0894e-01 5.3342e-06 0.41343 0.44669 0.44736 -0.00547 0.01631 -0.00571 1.87468e-01 7.19164e-04 -5.7078507692e-01 -3.8259752757e-01
22.004 0.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 -3.5073e-02 9.1682e-01 1.8554e-03 -2.4739e-04 4.0894e-01 5.3342e-06 0.44792 0.44669 0.41285 0.01688 -0.00101 -0.00481 1.87469e-01 7.20739e-04 -5.7078700189e-01 -3.8259772546e-01
24.004 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 1.4268e-02 9.1685e-01 3.1033e-02 -2.4739e-04 4.0894e-01 5.3342e-06 0.41848 0.44666 0.44233 -0.00725 -0.01518 0.01384 1.87469e-01 7.21991e-04 -5.7078929363e-01 -3.8259791821e-01
