# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 3.2844e-02 9.2069e-01 -3.5500e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.43263 0.44603 0.43006 -0.01577 0.01659 -0.00185 1.88527e-01 2.89385e-29 -5.7041034166e-01 -3.8188300428e-01
2.000 -0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 -4.4721e-02 9.1875e-01 -2.0076e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.43158 0.44698 0.42834 0.02076 0.00935 0.00093 1.88140e-01 4.03270e-04 -5.7083062828e-01 -3.8228727910e-01
4.004 -0.00000 -0.00000 0.00000 -0.00000 0.00000 0.00000 -4.8084e-03 9.1877e-01 4.7828e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.42757 0.44694 0.43240 0.00185 -0.02255 0.00223 1.88137e-01 4.05643e-04 -5.7083041739e-01 -3.8228791321e-01
6.004 0.00000 0.00000 0.00000 -0.00000 0.00000 -0.00000 4.5418e-02 9.1879e-01 -1.1611e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.43007 0.44688 0.42996 -0.02159 0.00563 -0.00512 1.88137e-01 4.04558e-04 -5.7083009332e-01 -3.8228815112e-01
8.004 -0.00000 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 -2.5973e-02 9.1875e-01 -3.8795e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.43446 0.44687 0.42558 0.01224 0.01807 0.00536 1.88138e-01 4.03383e-04 -5.7082942280e-01 -3.8228837457e-01
10.000 -0.00000 -0.00000 0.00000 0.00000 0.00000 0.00000 -2.7839e-02 9.1876e-01 3.5555e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.42156 0.44680 0.43856 0.01258 -0.01709 -0.00199 1.88138e-01 4.02030e-04 -5.7082844572e-01 -3.8228858646e-01
12.000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 4.0733e-02 9.1879e-01 1.3023e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.43963 0.44670 0.42060 -0.01970 -0.00584 -0.00405 1.88138e-01 4.00763e-04 -5.7082720858e-01 -3.8228878699e-01
14.000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -2.3456e-03 9.1876e-01 -4.1697e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.42406 0.44666 0.43622 0.00127 0.01977 0.01006 1.88137e-01 3.99766e-04 -5.7082577426e-01 -3.8228897534e-01
16.000 0.00000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 -3.7288e-02 9.1874e-01 1.5485e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.42920 0.44661 0.43115 0.01737 -0.00785 -0.01296 1.88136e-01 3.99152e-04 -5.7082420704e-01 -3.8228915167e-01
18.000 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 0.00000 2.6044e-02 9.1877e-01 2.7430e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.43913 0.44651 0.42132 -0.01304 -0.01294 0.01085 1.88134e-01 3.98942e-04 -5.7082256786e-01 -3.8228931660e-01
20.004 -0.00000 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 1.4618e-02 9.1875e-01 -3.3691e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.41592 0.44647 0.44457 -0.00703 0.01631 -0.00391 1.88132e-01 3.99071e-04 -5.7082090773e-01 -3.8228947150e-01
22.004 -0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 -3.6203e-02 9.1871e-01 -1.5965e-03 -2.4538e-04 4.0954e-01 -5.0150e-05 0.44481 0.44646 0.41571 0.01725 0.00046 -0.00520 1.88130e-01 3.99416e-04 -5.7081927975e-01 -3.8228961728e-01
24.004 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 1.1334e-02 9.1873e-01 3.2675e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.42106 0.44641 0.43952 -0.00592 -0.01585 0.01291 1.88128e-01 3.99820e-04 -5.7081771973e-01 -3.8228975611e-01
26.004 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 2.4876e-02 9.1872e-01 -2.3397e-02 -2.4538e-04 4.0954e-01 -5.0150e-05 0.43054 0.44640 0.43006 -0.01233 0.01133 -0.01606 1.88126e-01 4.00128e-04 -5.7081626122e-01 -3.8228989020e-01
