# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 0.00000 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 3.1022e-02 9.2061e-01 -3.8859e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.43244 0.44506 0.42866 -0.01494 0.01820 -0.00216 1.88059e-01 5.50463e-29 -5.7098545597e-01 -3.8292659619e-01
2.000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -4.7706e-02 9.1947e-01 -1.7193e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.43080 0.44564 0.42859 0.02210 0.00810 0.00109 1.87838e-01 2.39680e-04 -5.7124390599e-01 -3.8316600429e-01
4.004 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -1.3011e-03 9.1945e-01 5.0034e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.42794 0.44563 0.43146 0.00022 -0.02344 0.00202 1.87827e-01 2.47273e-04 -5.7124494271e-01 -3.8317055515e-01
6.004 -0.00000 0.00000 0.00000 -0.00000 0.00000 -0.00000 4.6254e-02 9.1950e-01 -1.5354e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.42896 0.44556 0.43050 -0.02193 0.00745 -0.00459 1.87830e-01 2.45978e-04 -5.7124646047e-01 -3.8317078130e-01
8.004 -0.00000 -0.00000 0.00000 -0.00000 0.00000 -0.00000 -2.9870e-02 9.1945e-01 -3.8200e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.43489 0.44555 0.42459 0.01403 0.01781 0.00424 1.87830e-01 2.46932e-04 -5.7124732011e-01 -3.8317084492e-01
10.000 -0.00000 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 -2.6277e-02 9.1945e-01 3.9122e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.42115 0.44548 0.43839 0.01178 -0.01863 -0.00031 1.87830e-01 2.46906e-04 -5.7124777761e-01 -3.8317089206e-01
12.000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 -0.00000 4.3214e-02 9.1950e-01 1.0704e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.43844 0.44536 0.42122 -0.02081 -0.00460 -0.00585 1.87830e-01 2.46885e-04 -5.7124787112e-01 -3.8317093551e-01
14.000 -0.00000 0.00000 -0.00000 -0.00000 -0.00000 -0.00000 -5.3867e-03 9.1947e-01 -4.2858e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.42576 0.44531 0.43396 0.00274 0.02033 0.01125 1.87830e-01 2.46835e-04 -5.7124762282e-01 -3.8317097603e-01
16.000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -3.7393e-02 9.1944e-01 1.8746e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.42634 0.44525 0.43345 0.01733 -0.00933 -0.01287 1.87829e-01 2.46764e-04 -5.7124708777e-01 -3.8317101375e-01
18.000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 2.8697e-02 9.1948e-01 2.6536e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.44116 0.44514 0.41874 -0.01431 -0.01234 0.00923 1.87829e-01 2.46699e-04 -5.7124632648e-01 -3.8317104882e-01
20.004 -0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 1.2614e-02 9.1947e-01 -3.5364e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.41458 0.44509 0.44538 -0.00600 0.01718 -0.00111 1.87828e-01 2.46645e-04 -5.7124540165e-01 -3.8317108156e-01
22.004 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -3.6994e-02 9.1943e-01 1.0861e-03 -2.5220e-04 4.0856e-01 2.9970e-05 0.44384 0.44507 0.41615 0.01759 -0.00079 -0.00826 1.87827e-01 2.46596e-04 -5.7124438161e-01 -3.8317111223e-01
24.004 -0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 1.3884e-02 9.1946e-01 3.2442e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.42318 0.44501 0.43687 -0.00720 -0.01561 0.01513 1.87826e-01 2.46545e-04 -5.7124332389e-01 -3.8317114139e-01
26.004 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 2.3323e-02 9.1946e-01 -2.5393e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.42700 0.44499 0.43308 -0.01156 0.01241 -0.01658 1.87825e-01 2.46486e-04 -5.7124228161e-01 -3.8317116959e-01
28.004 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -3.3265e-02 9.1942e-01 -1.2017e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.44199 0.44502 0.41806 0.01587 0.00593 0.01190 1.87824e-01 2.46414e-04 -5.7124130126e-01 -3.8317119742e-01
30.004 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 9.9019e-04 9.1943e-01 3.5327e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.41360 0.44502 0.44646 -0.00061 -0.01712 -0.00290 1.87823e-01 2.46325e-04 -5.7124042300e-01 -3.8317122546e-01
32.004 0.00000 0.00000 -0.00000 0.00000 -0.00000 -0.00000 3.2211e-02 9.1945e-01 -1.5266e-02 -2.5220e-04 4.0856e-01 2.9970e-05 0.44481 0.44503 0.41524 -0.01597 0.00717 -0.00682 1.87822e-01 2.46220e-04 -5.7123968110e-01 -3.8317125430e-01
